Price,Date,Close,High,Low,Open,Volume
Ticker,,AB,AB,AB,AB,AB
0,2023-04-11,29.73109245300293,29.806445958602854,28.600793062896564,28.600793062896564,234600
1,2023-04-12,28.63428497314453,30.124606352127312,28.584048236791684,29.948782565731214,265500
2,2023-04-13,29.32921028137207,29.697606643862038,28.634286296126156,28.634286296126156,302900
3,2023-04-14,30.534868240356445,30.62696733635365,29.488293411102582,29.488293411102582,309200
4,2023-04-17,30.79442024230957,30.978618455169944,30.367419068916213,30.559988476046023,242900
5,2023-04-18,30.29206085205078,30.878143370806605,30.06600031507813,30.744181925996084,242300
6,2023-04-19,29.86505699157715,30.342298039267437,29.731095544790016,30.049255178619266,248200
7,2023-04-20,30.43439292907715,30.95349631280957,29.59713311596479,29.59713311596479,286400
8,2023-04-21,30.216705322265625,30.752551065731215,29.990644800386224,30.47625700158477,220100
9,2023-04-24,29.76458740234375,30.25019965450801,29.647371532895246,30.040884689380565,165400
10,2023-04-25,28.84360122680664,29.697606620227287,28.801738874891388,29.387818189490407,230300
11,2023-04-26,28.550559997558594,29.086408991750453,28.090067712544982,28.80174051110502,340800
12,2023-04-27,29.228742599487305,29.932041034057235,27.797028955721267,28.550560939543544,355400
13,2023-04-28,29.27060317993164,29.764586612275878,28.960817934055942,29.295723146927322,255200
14,2023-05-01,28.927326202392578,29.580391035198073,28.86871827038209,29.30409376095483,178900
15,2023-05-02,28.215656280517578,28.893834683601572,28.190536314330704,28.726385276450227,310000
16,2023-05-03,28.098440170288086,28.868717656851533,27.99796669421162,28.282635155309563,167500
17,2023-05-04,27.788650512695312,28.45008649505876,27.277924737772857,28.15704685421042,317900
18,2023-05-05,28.865005493164062,28.924802519529113,28.13035258788654,28.19014961425159,339400
19,2023-05-08,29.39463996887207,29.608201724896624,28.702698706222748,28.865007726365434,264700
20,2023-05-09,28.950428009033203,29.29212808536893,28.540389872646386,29.24087209631054,187000
21,2023-05-10,29.779050827026367,29.89010384903411,28.28411858276756,29.155450910464506,466300
22,2023-05-11,29.71070671081543,29.966983392700527,29.411721593540648,29.65945398139311,194400
23,2023-05-12,29.189617156982422,30.026782048242122,29.044396737467988,29.69362299542152,565100
24,2023-05-15,29.10419273376465,29.63382491955665,28.967513354892734,29.181075088048445,210900
25,2023-05-16,28.506221771240234,29.18961872654193,28.497680734977468,28.958974901816262,193100
26,2023-05-17,28.950428009033203,29.03585465746385,28.668528215945646,28.82229292442738,224400
27,2023-05-18,29.804677963256836,29.915730988130306,28.91626028165661,28.91626028165661,245000
28,2023-05-19,29.403182983398438,30.129294957947668,29.300674246044597,29.9755302225699,132800
29,2023-05-22,29.616743087768555,29.898646173001314,29.257960897865573,29.257960897865573,99400
30,2023-05-23,29.163991928100586,30.402650724296347,29.12128023003046,29.480062404251942,217300
31,2023-05-24,28.950428009033203,29.257957425996672,28.583101567514994,28.711239910814253,249800
32,2023-05-25,28.54039192199707,29.471521275243827,28.36954187156127,29.275044857785442,265800
33,2023-05-26,29.334842681884766,29.779051521582627,28.53185165936965,28.574563358463074,213600
34,2023-05-30,29.71070671081543,29.736336334219963,29.129818546944392,29.514230311078663,205200
35,2023-05-31,29.70216941833496,29.753425412909575,29.070025186689854,29.6167427607106,198000
36,2023-06-01,30.078035354614258,30.197629410307577,29.642370829060937,29.702167856907597,145100
37,2023-06-02,30.325769424438477,30.616213543640008,30.09512233636428,30.325769424438477,195200
38,2023-06-05,29.685083389282227,30.37702463565854,29.57403036632693,30.21471561933302,279400
39,2023-06-06,29.881563186645508,30.18909266423919,29.64237504127001,29.693627781739572,194700
40,2023-06-07,29.548404693603516,29.941357542598176,29.420266336512576,29.804678149091608,191200
41,2023-06-08,29.633827209472656,29.710709569697435,29.104194982754006,29.574030180263794,161200
42,2023-06-09,29.343381881713867,29.693623006269426,29.232332122759985,29.531317256395138,121400
43,2023-06-12,28.788124084472656,29.317756303441847,28.7539534229408,29.283585641909994,256700
44,2023-06-13,29.15544891357422,29.369010648126956,28.77957817519758,28.830834164619883,237600
45,2023-06-14,29.027313232421875,29.4715220720879,28.847922141026103,29.172536919761615,160100
46,2023-06-15,29.343381881713867,29.394637872634274,28.839376043090642,28.856461373397444,271200
47,2023-06-16,28.583101272583008,29.232330759183192,28.463507224707552,29.215245429673356,309200
48,2023-06-20,27.97658920288086,28.420798033175952,27.856995144473277,28.403712702161485,495500
49,2023-06-21,27.73740005493164,27.9851291986979,27.455496991713165,27.89116476965198,397300
50,2023-06-22,27.370071411132812,27.85699188260203,27.216306708701133,27.575088841912848,415100
51,2023-06-23,27.139423370361328,27.549461475700667,26.951488016737517,27.327357094638543,378500
52,2023-06-26,27.284648895263672,27.558006037797927,26.994204792803348,26.994204792803348,213900
53,2023-06-27,27.14797019958496,27.481124378270597,27.054002508356582,27.352989283708553,222800
54,2023-06-28,26.891693115234375,27.113797513793852,26.63541968654475,27.03691515931762,524900
55,2023-06-29,26.900238037109375,27.250479179399886,26.643964586917686,26.908780702695346,311000
56,2023-06-30,27.472583770751953,27.51529546960571,26.82335584622424,27.079630927387395,539300
57,2023-07-03,27.88262176513672,27.968048420985696,27.318818871308356,27.361530569885986,160600
58,2023-07-05,27.335905075073242,27.874081618673017,27.335905075073242,27.523840465246394,277500
59,2023-07-06,26.968576431274414,27.293191190491903,26.68667499792595,27.04545878849188,232700
60,2023-07-07,26.942951202392578,27.250479014896776,26.83189817979221,26.83189817979221,206300
61,2023-07-10,27.062541961669922,27.199221334862465,26.72938619318143,26.789183215284837,682300
62,2023-07-11,27.14797019958496,27.42132734906957,26.84898342423299,27.1565128650918,400000
